U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time;
02,60;3,81;00,00;2,87;600,0;11,0;N/A;N/A;OFF;ON;CC;NONE;00:00:09,939;
02,60;3,77;00,00;7,00;600,0;26,3;N/A;N/A;OFF;ON;CC;NONE;00:00:10,439;
02,60;3,76;00,00;7,49;600,0;28,1;N/A;N/A;OFF;ON;CC;NONE;00:00:10,939;
02,60;3,73;00,00;10,42;600,0;38,9;N/A;N/A;OFF;ON;CC;NONE;00:00:11,439;
02,60;3,75;00,00;8,06;600,0;30,2;N/A;N/A;OFF;ON;CC;NONE;00:00:11,939;
02,60;3,67;00,00;16,00;600,0;58,6;N/A;N/A;OFF;ON;CC;NONE;00:00:12,439;
02,60;3,63;00,00;19,13;600,0;69,4;N/A;N/A;OFF;ON;CC;NONE;00:00:12,939;
02,60;3,65;00,00;16,18;600,0;59,1;N/A;N/A;OFF;ON;CC;NONE;00:00:13,439;
02,60;3,71;00,00;9,92;600,0;36,8;N/A;N/A;OFF;ON;CC;NONE;00:00:13,939;
02,60;3,78;00,00;3,61;600,0;13,6;N/A;N/A;OFF;ON;CC;NONE;00:00:14,439;
02,60;3,60;00,00;21,36;600,0;76,9;N/A;N/A;OFF;ON;CC;NONE;00:00:14,939;
02,60;3,78;00,00;3,73;600,0;14,0;N/A;N/A;OFF;ON;CC;NONE;00:00:15,439;
02,60;3,82;00,00;0,29;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:00:15,939;
02,60;3,82;00,00;0,21;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:00:16,439;
02,60;3,82;00,00;0,13;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:00:16,939;
02,60;3,83;00,00;0,05;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:00:17,439;
02,60;3,83;00,00;0,00;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:00:17,939;
02,60;3,74;00,00;9,04;600,0;33,8;N/A;N/A;OFF;ON;CC;NONE;00:00:18,439;
02,60;3,75;00,00;7,32;600,0;27,5;N/A;N/A;OFF;ON;CC;NONE;00:00:18,939;
02,60;3,82;00,00;0,61;600,0;2,3;N/A;N/A;OFF;ON;CC;NONE;00:00:19,439;
02,60;3,68;00,00;14,70;600,0;54,1;N/A;N/A;OFF;ON;CC;NONE;00:00:19,939;
02,60;3,70;00,00;11,79;600,0;43,7;N/A;N/A;OFF;ON;CC;NONE;00:00:20,439;
02,60;3,82;00,00;0,05;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:00:20,939;
02,60;3,83;00,00;0,00;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:00:21,439;
